,Time Candle,Duration,Momentum Margin,Momentum Volume,Desired Profit,Stop Loss,Units,Open-close Difference,Order Type,Buy Wait Time,Sell Wait Time,Total Profit
78,09:00,5,7,1,1,3,50,15,Limit,30,690,-3773.0000000000473
79,09:00,5,7,1,1,3,50,15,Market,30,690,-1896.9999999999345
80,09:00,5,7,1,20,1,1,3,Limit,30,690,-326.0
81,09:00,5,7,1,20,1,1,3,Market,30,690,-54.0
82,09:00,5,7,1,20,1,1,15,Limit,30,690,-213.0
83,09:00,5,7,1,20,1,1,15,Market,30,690,-91.0
84,09:00,5,7,1,20,1,50,3,Limit,30,690,-16728.999999999996
85,09:00,5,7,1,20,1,50,3,Market,30,690,-3472.9999999999563
86,09:00,5,7,1,20,1,50,15,Limit,30,690,-11055.999999999949
87,09:00,5,7,1,20,1,50,15,Market,30,690,-5458.999999999969
88,09:00,5,7,1,20,3,1,3,Limit,30,690,-632.0
89,09:00,5,7,1,20,3,1,3,Market,30,690,-252.0
90,09:00,5,7,1,20,3,1,15,Limit,30,690,-379.0
91,09:00,5,7,1,20,3,1,15,Market,30,690,-171.0
92,09:00,5,7,1,20,3,50,3,Limit,30,690,-31769.00000000005
93,09:00,5,7,1,20,3,50,3,Market,30,690,-13455.999999999995
94,09:00,5,7,1,20,3,50,15,Limit,30,690,-18876.000000000022
95,09:00,5,7,1,20,3,50,15,Market,30,690,-9511.000000000013
96,09:00,5,7,3,1,1,1,3,Limit,30,690,-47.0
97,09:00,5,7,3,1,1,1,3,Market,30,690,-69.0
98,09:00,5,7,3,1,1,1,15,Limit,30,690,-20.0
99,09:00,5,7,3,1,1,1,15,Market,30,690,-37.0
100,09:00,5,7,3,1,1,50,3,Limit,30,690,-4275.000000000136
101,09:00,5,7,3,1,1,50,3,Market,30,690,-4231.999999999925
102,09:00,5,7,3,1,1,50,15,Limit,30,690,-2733.0000000000837
103,09:00,5,7,3,1,1,50,15,Market,30,690,-2315.9999999999854
104,09:00,5,7,3,1,3,1,3,Limit,30,690,-48.0
105,09:00,5,7,3,1,3,1,3,Market,30,690,-68.0
106,09:00,5,7,3,1,3,1,15,Limit,30,690,-17.0
107,09:00,5,7,3,1,3,1,15,Market,30,690,-38.0
108,09:00,5,7,3,1,3,50,3,Limit,30,690,-5591.000000000076
109,09:00,5,7,3,1,3,50,3,Market,30,690,-4159.9999999999
110,09:00,5,7,3,1,3,50,15,Limit,30,690,-3328.00000000002
111,09:00,5,7,3,1,3,50,15,Market,30,690,-2243.99999999996
112,09:00,5,7,3,20,1,1,3,Limit,30,690,-323.0
113,09:00,5,7,3,20,1,1,3,Market,30,690,-98.0
114,09:00,5,7,3,20,1,1,15,Limit,30,690,-213.0
115,09:00,5,7,3,20,1,1,15,Market,30,690,-97.0
116,09:00,5,7,3,20,1,50,3,Limit,30,690,-16487.999999999964
117,09:00,5,7,3,20,1,50,3,Market,30,690,-5397.999999999956
118,09:00,5,7,3,20,1,50,15,Limit,30,690,-11013.999999999942
119,09:00,5,7,3,20,1,50,15,Market,30,690,-7334.999999999991
120,09:00,5,7,3,20,3,1,3,Limit,30,690,-629.0
121,09:00,5,7,3,20,3,1,3,Market,30,690,-334.0
122,09:00,5,7,3,20,3,1,15,Limit,30,690,-379.0
123,09:00,5,7,3,20,3,1,15,Market,30,690,-180.0
124,09:00,5,7,3,20,3,50,3,Limit,30,690,-31561.000000000007
125,09:00,5,7,3,20,3,50,3,Market,30,690,-17754.999999999927
126,09:00,5,7,3,20,3,50,15,Limit,30,690,-18867.000000000007
127,09:00,5,7,3,20,3,50,15,Market,30,690,-13461.999999999944
128,09:00,15,3,1,1,1,1,3,Limit,30,690,-64.0
129,09:00,15,3,1,1,1,1,3,Market,30,690,-82.0
130,09:00,15,3,1,1,1,1,15,Limit,30,690,-45.0
131,09:00,15,3,1,1,1,1,15,Market,30,690,-54.0
132,09:00,15,3,1,1,1,50,3,Limit,30,690,-3915.9999999999854
133,09:00,15,3,1,1,1,50,3,Market,30,690,-3652.9999999999745
134,09:00,15,3,1,1,1,50,15,Limit,30,690,-2878.999999999951
135,09:00,15,3,1,1,1,50,15,Market,30,690,-2284.9999999999454
136,09:00,15,3,1,1,3,1,3,Limit,30,690,-59.0
137,09:00,15,3,1,1,3,1,3,Market,30,690,-82.0
138,09:00,15,3,1,1,3,1,15,Limit,30,690,-43.0
139,09:00,15,3,1,1,3,1,15,Market,30,690,-54.0
140,09:00,15,3,1,1,3,50,3,Limit,30,690,-4281.999999999971
141,09:00,15,3,1,1,3,50,3,Market,30,690,-3895.9999999999127
142,09:00,15,3,1,1,3,50,15,Limit,30,690,-3244.9999999999363
143,09:00,15,3,1,1,3,50,15,Market,30,690,-2527.9999999998836
144,09:00,15,3,1,20,1,1,3,Limit,30,690,-225.0
145,09:00,15,3,1,20,1,1,3,Market,30,690,-74.0
146,09:00,15,3,1,20,1,1,15,Limit,30,690,-151.0
147,09:00,15,3,1,20,1,1,15,Market,30,690,-72.0
148,09:00,15,3,1,20,1,50,3,Limit,30,690,-11054.999999999973
149,09:00,15,3,1,20,1,50,3,Market,30,690,-4368.000000000029
150,09:00,15,3,1,20,1,50,15,Limit,30,690,-7789.999999999964
151,09:00,15,3,1,20,1,50,15,Market,30,690,-3775.9999999999764
152,09:00,15,3,1,20,3,1,3,Limit,30,690,-257.0
153,09:00,15,3,1,20,3,1,3,Market,30,690,-117.0
154,09:00,15,3,1,20,3,1,15,Limit,30,690,-131.0
155,09:00,15,3,1,20,3,1,15,Market,30,690,-75.0
156,09:00,15,3,1,20,3,50,3,Limit,30,690,-12598.000000000002
157,09:00,15,3,1,20,3,50,3,Market,30,690,-6287.000000000035
158,09:00,15,3,1,20,3,50,15,Limit,30,690,-6523.999999999978
159,09:00,15,3,1,20,3,50,15,Market,30,690,-4251.999999999953
160,09:00,15,3,3,1,1,1,3,Limit,30,690,-59.0
161,09:00,15,3,3,1,1,1,3,Market,30,690,-92.0
162,09:00,15,3,3,1,1,1,15,Limit,30,690,-36.0
163,09:00,15,3,3,1,1,1,15,Market,30,690,-59.0
164,09:00,15,3,3,1,1,50,3,Limit,30,690,-4176.999999999953
165,09:00,15,3,3,1,1,50,3,Market,30,690,-3639.9999999999636
166,09:00,15,3,3,1,1,50,15,Limit,30,690,-2500.9999999999764
167,09:00,15,3,3,1,1,50,15,Market,30,690,-2100.0000000000455
168,09:00,15,3,3,1,3,1,3,Limit,30,690,-56.0
169,09:00,15,3,3,1,3,1,3,Market,30,690,-93.0
170,09:00,15,3,3,1,3,1,15,Limit,30,690,-33.0
171,09:00,15,3,3,1,3,1,15,Market,30,690,-60.0
172,09:00,15,3,3,1,3,50,3,Limit,30,690,-4392.999999999984
173,09:00,15,3,3,1,3,50,3,Market,30,690,-3659.9999999999454
174,09:00,15,3,3,1,3,50,15,Limit,30,690,-2698.999999999978
175,09:00,15,3,3,1,3,50,15,Market,30,690,-2120.0000000000273
176,09:00,15,3,3,20,1,1,3,Limit,30,690,-199.0
177,09:00,15,3,3,20,1,1,3,Market,30,690,-118.0
178,09:00,15,3,3,20,1,1,15,Limit,30,690,-134.0
179,09:00,15,3,3,20,1,1,15,Market,30,690,-38.0
180,09:00,15,3,3,20,1,50,3,Limit,30,690,-9413.000000000011
181,09:00,15,3,3,20,1,50,3,Market,30,690,-6223.000000000002
182,09:00,15,3,3,20,1,50,15,Limit,30,690,-6407.000000000016
183,09:00,15,3,3,20,1,50,15,Market,30,690,-1814.0000000000327
184,09:00,15,3,3,20,3,1,3,Limit,30,690,-193.0
185,09:00,15,3,3,20,3,1,3,Market,30,690,-36.0
186,09:00,15,3,3,20,3,1,15,Limit,30,690,-68.0
187,09:00,15,3,3,20,3,1,15,Market,30,690,8.0
188,09:00,15,3,3,20,3,50,3,Limit,30,690,-9531.00000000004
189,09:00,15,3,3,20,3,50,3,Market,30,690,-1577.9999999999745
190,09:00,15,3,3,20,3,50,15,Limit,30,690,-3257.0000000000164
191,09:00,15,3,3,20,3,50,15,Market,30,690,276.9999999999527
192,09:00,15,7,1,1,1,1,3,Limit,30,690,-62.0
193,09:00,15,7,1,1,1,1,3,Market,30,690,-72.0
194,09:00,15,7,1,1,1,1,15,Limit,30,690,-39.0
195,09:00,15,7,1,1,1,1,15,Market,30,690,-52.0
196,09:00,15,7,1,1,1,50,3,Limit,30,690,-4561.000000000058
197,09:00,15,7,1,1,1,50,3,Market,30,690,-4236.999999999898
198,09:00,15,7,1,1,1,50,15,Limit,30,690,-2867.0000000000528
199,09:00,15,7,1,1,1,50,15,Market,30,690,-2915.9999999999854
200,09:00,15,7,1,1,3,1,3,Limit,30,690,-67.0
201,09:00,15,7,1,1,3,1,3,Market,30,690,-73.0
202,09:00,15,7,1,1,3,1,15,Limit,30,690,-39.0
203,09:00,15,7,1,1,3,1,15,Market,30,690,-53.0
204,09:00,15,7,1,1,3,50,3,Limit,30,690,-4896.000000000004
205,09:00,15,7,1,1,3,50,3,Market,30,690,-4066.9999999999163
206,09:00,15,7,1,1,3,50,15,Limit,30,690,-3008.000000000038
207,09:00,15,7,1,1,3,50,15,Market,30,690,-2746.0000000000036
208,09:00,15,7,1,20,1,1,3,Limit,30,690,-207.0
209,09:00,15,7,1,20,1,1,3,Market,30,690,-96.0
210,09:00,15,7,1,20,1,1,15,Limit,30,690,-118.0
211,09:00,15,7,1,20,1,1,15,Market,30,690,-14.0
212,09:00,15,7,1,20,1,50,3,Limit,30,690,-11927.000000000044
213,09:00,15,7,1,20,1,50,3,Market,30,690,-6050.999999999976
214,09:00,15,7,1,20,1,50,15,Limit,30,690,-7541.000000000076
215,09:00,15,7,1,20,1,50,15,Market,30,690,-1300.9999999999764
216,09:00,15,7,1,20,3,1,3,Limit,30,690,-248.0
217,09:00,15,7,1,20,3,1,3,Market,30,690,-28.0
218,09:00,15,7,1,20,3,1,15,Limit,30,690,-124.0
219,09:00,15,7,1,20,3,1,15,Market,30,690,7.0
220,09:00,15,7,1,20,3,50,3,Limit,30,690,-11478.00000000002
221,09:00,15,7,1,20,3,50,3,Market,30,690,-1701.0000000000218
222,09:00,15,7,1,20,3,50,15,Limit,30,690,-5063.000000000011
223,09:00,15,7,1,20,3,50,15,Market,30,690,198.99999999997817
224,09:00,15,7,3,1,1,1,3,Limit,30,690,-50.0
225,09:00,15,7,3,1,1,1,3,Market,30,690,-68.0
226,09:00,15,7,3,1,1,1,15,Limit,30,690,-27.0
227,09:00,15,7,3,1,1,1,15,Market,30,690,-54.0
228,09:00,15,7,3,1,1,50,3,Limit,30,690,-4111.000000000058
229,09:00,15,7,3,1,1,50,3,Market,30,690,-3663.0000000000564
230,09:00,15,7,3,1,1,50,15,Limit,30,690,-2223.0000000000928
231,09:00,15,7,3,1,1,50,15,Market,30,690,-2386.000000000058
232,09:00,15,7,3,1,3,1,3,Limit,30,690,-55.0
233,09:00,15,7,3,1,3,1,3,Market,30,690,-71.0
234,09:00,15,7,3,1,3,1,15,Limit,30,690,-27.0
235,09:00,15,7,3,1,3,1,15,Market,30,690,-53.0
236,09:00,15,7,3,1,3,50,3,Limit,30,690,-4460.999999999967
237,09:00,15,7,3,1,3,50,3,Market,30,690,-3438.9999999999873
238,09:00,15,7,3,1,3,50,15,Limit,30,690,-2379.000000000042
239,09:00,15,7,3,1,3,50,15,Market,30,690,-2143.000000000029
240,09:00,15,7,3,20,1,1,3,Limit,30,690,-244.0
241,09:00,15,7,3,20,1,1,3,Market,30,690,-151.0
242,09:00,15,7,3,20,1,1,15,Limit,30,690,-154.0
243,09:00,15,7,3,20,1,1,15,Market,30,690,-70.0
244,09:00,15,7,3,20,1,50,3,Limit,30,690,-13300.0
245,09:00,15,7,3,20,1,50,3,Market,30,690,-8764.999999999964
246,09:00,15,7,3,20,1,50,15,Limit,30,690,-8748.000000000047
247,09:00,15,7,3,20,1,50,15,Market,30,690,-4311.000000000013
248,09:00,15,7,3,20,3,1,3,Limit,30,690,-179.0
249,09:00,15,7,3,20,3,1,3,Market,30,690,-32.0
250,09:00,15,7,3,20,3,1,15,Limit,30,690,-61.0
251,09:00,15,7,3,20,3,1,15,Market,30,690,85.0
252,09:00,15,7,3,20,3,50,3,Limit,30,690,-11338.000000000011
253,09:00,15,7,3,20,3,50,3,Market,30,690,-1875.9999999999764
254,09:00,15,7,3,20,3,50,15,Limit,30,690,-5063.000000000011
255,09:00,15,7,3,20,3,50,15,Market,30,690,4293.000000000029
256,14:20,5,3,1,1,1,1,3,Limit,30,690,-32.0
257,14:20,5,3,1,1,1,1,3,Market,30,690,-51.0
258,14:20,5,3,1,1,1,1,15,Limit,30,690,-10.0
259,14:20,5,3,1,1,1,1,15,Market,30,690,-29.0
260,14:20,5,3,1,1,1,50,3,Limit,30,690,-3170.0000000001182
261,14:20,5,3,1,1,1,50,3,Market,30,690,-2879.9999999999272
262,14:20,5,3,1,1,1,50,15,Limit,30,690,-1313.0000000000564
263,14:20,5,3,1,1,1,50,15,Market,30,690,-1326.9999999999982
264,14:20,5,3,1,1,3,1,3,Limit,30,690,-42.0
265,14:20,5,3,1,1,3,1,3,Market,30,690,-54.0
266,14:20,5,3,1,1,3,1,15,Limit,30,690,-16.0
267,14:20,5,3,1,1,3,1,15,Market,30,690,-25.0
268,14:20,5,3,1,1,3,50,3,Limit,30,690,-3749.0000000001146
269,14:20,5,3,1,1,3,50,3,Market,30,690,-2482.9999999999472
270,14:20,5,3,1,1,3,50,15,Limit,30,690,-1538.0000000000564
271,14:20,5,3,1,1,3,50,15,Market,30,690,-966.9999999999618
272,14:20,5,3,1,20,1,1,3,Limit,30,690,-259.0
273,14:20,5,3,1,20,1,1,3,Market,30,690,-183.0
274,14:20,5,3,1,20,1,1,15,Limit,30,690,-131.0
275,14:20,5,3,1,20,1,1,15,Market,30,690,-100.0
276,14:20,5,3,1,20,1,50,3,Limit,30,690,-13299.00000000007
277,14:20,5,3,1,20,1,50,3,Market,30,690,-9385.000000000036
278,14:20,5,3,1,20,1,50,15,Limit,30,690,-6628.999999999996
279,14:20,5,3,1,20,1,50,15,Market,30,690,-5081.00000000004
280,14:20,5,3,1,20,3,1,3,Limit,30,690,-381.0
281,14:20,5,3,1,20,3,1,3,Market,30,690,-283.0
282,14:20,5,3,1,20,3,1,15,Limit,30,690,1.0
283,14:20,5,3,1,20,3,1,15,Market,30,690,40.0
284,14:20,5,3,1,20,3,50,3,Limit,30,690,-17107.000000000062
285,14:20,5,3,1,20,3,50,3,Market,30,690,-11892.999999999984
286,14:20,5,3,1,20,3,50,15,Limit,30,690,2090.000000000009
287,14:20,5,3,1,20,3,50,15,Market,30,690,4550.999999999976
288,14:20,5,3,3,1,1,1,3,Limit,30,690,-32.0
289,14:20,5,3,3,1,1,1,3,Market,30,690,-46.0
290,14:20,5,3,3,1,1,1,15,Limit,30,690,-13.0
291,14:20,5,3,3,1,1,1,15,Market,30,690,-22.0
292,14:20,5,3,3,1,1,50,3,Limit,30,690,-3315.0000000001
293,14:20,5,3,3,1,1,50,3,Market,30,690,-2601.9999999998163
294,14:20,5,3,3,1,1,50,15,Limit,30,690,-1470.0000000000273
295,14:20,5,3,3,1,1,50,15,Market,30,690,-1003.9999999999054
296,14:20,5,3,3,1,3,1,3,Limit,30,690,-44.0
297,14:20,5,3,3,1,3,1,3,Market,30,690,-47.0
298,14:20,5,3,3,1,3,1,15,Limit,30,690,-22.0
299,14:20,5,3,3,1,3,1,15,Market,30,690,-21.0
